grid_case,s,grenailleuse_prob,flow_case,occupation_inspecteur_pct,arret_grenailleuse_pct,bouteilles_inspectees,bouteilles_h_apres_600s,occupation_apres_600s_pct
1,0.0,0.0,Verticale,99.3,0.0,2380,299.1,99.8
1,0.0,0.0,Horizontale (sans tampon),99.2,4.3,2380,299.1,99.6
1,0.0,0.0,Horizontale avec tampon,99.2,3.6,2379,299.0,99.8
1,0.0,0.0,Verticale avec Vitesse Variable,99.4,0.1,2378,298.6,99.8
1,0.0,0.0,Horizontale (sans tampon) avec Vitesse Variable,94.5,3.1,2277,285.8,94.4
1,0.0,0.0,Horizontale avec tampon et Vitesse Variable,97.6,0.0,2344,294.6,97.8
2,0.0,0.1,Verticale,86.2,0.0,2067,259.7,85.7
2,0.0,0.1,Horizontale (sans tampon),84.4,0.0,2029,255.0,83.9
2,0.0,0.1,Horizontale avec tampon,85.3,0.0,2053,258.0,84.9
2,0.0,0.1,Verticale avec Vitesse Variable,84.7,0.0,2033,255.4,83.9
2,0.0,0.1,Horizontale (sans tampon) avec Vitesse Variable,84.0,0.1,2019,253.6,83.4
2,0.0,0.1,Horizontale avec tampon et Vitesse Variable,84.9,0.0,2033,255.4,84.3
3,0.0,0.2,Verticale,75.4,0.0,1801,226.5,74.5
3,0.0,0.2,Horizontale (sans tampon),74.2,0.0,1767,222.0,73.3
3,0.0,0.2,Horizontale avec tampon,74.7,0.0,1791,225.2,73.9
3,0.0,0.2,Verticale avec Vitesse Variable,75.6,0.0,1811,227.7,74.6
3,0.0,0.2,Horizontale (sans tampon) avec Vitesse Variable,75.5,0.0,1807,226.9,74.6
3,0.0,0.2,Horizontale avec tampon et Vitesse Variable,75.1,0.0,1802,226.3,74.2
4,0.1,0.0,Verticale,99.5,22.0,2003,251.7,100.0
4,0.1,0.0,Horizontale (sans tampon),99.5,22.9,2000,250.9,100.0
4,0.1,0.0,Horizontale avec tampon,99.5,22.8,1995,250.3,100.0
4,0.1,0.0,Verticale avec Vitesse Variable,99.5,2.0,2011,252.8,99.9
4,0.1,0.0,Horizontale (sans tampon) avec Vitesse Variable,96.1,8.0,1930,242.1,96.3
4,0.1,0.0,Horizontale avec tampon et Vitesse Variable,97.7,2.6,1955,245.5,98.0
5,0.1,0.1,Verticale,98.8,12.2,1983,249.4,99.4
5,0.1,0.1,Horizontale (sans tampon),98.8,19.5,1992,250.4,99.3
5,0.1,0.1,Horizontale avec tampon,99.0,18.9,1981,249.1,99.7
5,0.1,0.1,Verticale avec Vitesse Variable,99.3,1.0,2001,251.1,99.8
5,0.1,0.1,Horizontale (sans tampon) avec Vitesse Variable,95.7,7.4,1931,242.9,95.8
5,0.1,0.1,Horizontale avec tampon et Vitesse Variable,97.4,2.2,1960,246.2,97.8
6,0.1,0.2,Verticale,88.9,0.0,1789,224.9,89.0
6,0.1,0.2,Horizontale (sans tampon),89.9,4.7,1811,227.9,89.9
6,0.1,0.2,Horizontale avec tampon,89.2,0.3,1786,224.5,89.3
6,0.1,0.2,Verticale avec Vitesse Variable,91.0,0.0,1822,228.7,90.8
6,0.1,0.2,Horizontale (sans tampon) avec Vitesse Variable,87.6,3.2,1772,222.5,87.3
6,0.1,0.2,Horizontale avec tampon et Vitesse Variable,88.0,0.2,1772,223.0,87.8
7,0.2,0.0,Verticale,99.5,32.6,1725,216.5,100.0
7,0.2,0.0,Horizontale (sans tampon),99.5,32.8,1742,218.8,100.0
7,0.2,0.0,Horizontale avec tampon,99.5,32.3,1750,219.8,100.0
7,0.2,0.0,Verticale avec Vitesse Variable,99.5,1.2,1736,217.7,100.0
7,0.2,0.0,Horizontale (sans tampon) avec Vitesse Variable,97.8,9.4,1693,212.5,98.1
7,0.2,0.0,Horizontale avec tampon et Vitesse Variable,98.8,2.9,1723,216.3,99.2
8,0.2,0.1,Verticale,99.4,30.1,1760,221.1,99.9
8,0.2,0.1,Horizontale (sans tampon),99.5,33.0,1730,217.6,100.0
8,0.2,0.1,Horizontale avec tampon,99.4,32.7,1729,217.3,100.0
8,0.2,0.1,Verticale avec Vitesse Variable,99.4,2.1,1734,217.7,99.9
8,0.2,0.1,Horizontale (sans tampon) avec Vitesse Variable,97.7,9.2,1694,213.1,98.1
8,0.2,0.1,Horizontale avec tampon et Vitesse Variable,98.7,3.2,1717,215.7,99.1
9,0.2,0.2,Verticale,98.8,16.9,1736,218.6,99.6
9,0.2,0.2,Horizontale (sans tampon),98.4,27.6,1702,214.2,99.2
9,0.2,0.2,Horizontale avec tampon,98.6,25.3,1725,217.1,99.3
9,0.2,0.2,Verticale avec Vitesse Variable,99.0,0.8,1719,216.4,99.6
9,0.2,0.2,Horizontale (sans tampon) avec Vitesse Variable,97.5,8.5,1677,210.7,97.8
9,0.2,0.2,Horizontale avec tampon et Vitesse Variable,98.3,3.0,1690,212.5,98.8
